id,title,status,stated_by,source,claim,has_non_manual_test,verified_by,note,opinion,decision
R-D1,Profiles reference auth.users by uuid,uncovered,agent,§17 D1,"user_profiles.user_id is a uuid foreign key to auth.users with ON DELETE CASCADE and a unique (org_id, user_id).",no,,"The unique (org_id, user_id) is what D98 (§19.40) will relax for multi-role.","add-test (sql): cheap to prove directly — assert the FK, the CASCADE and the unique index in one migration test rather than leaving a foundational constraint unproven.",
R-D2,"The capacity cap is read from org settings, default 1.0",covered,agent,§17 D2 §17.1,"check_operator_capacity reads orgs.settings capacity_cap, defaulting to 1.0. Configurability is proven by the 1.1-peak case, refused at cap 1.0 and accepted at 1.2.",yes,sql | supabase/tests/20_capacity_test.sql,,Solid: the sql test drives both the default and the 1.0/1.2 boundary the claim actually asserts.,
R-D3,"Child rows reference their parent by composite (org_id, id)",uncovered,agent,§17 D3 §19.18,"Parents carry unique (org_id, id) and children reference (org_id, id), so cross-tenant row stitching is structurally impossible.",no,,§19.18 found nodes.level_id was the one plain FK and added the composite in migration 0014.,add-test (sql): the composite-FK cross-tenant isolation claim is cheap to pin and a regression here is a silent security leak.,
R-D4,Two runs on one cell may not overlap in time,uncovered,agent,§17 D4 §15.2,"runs carries an exclusion constraint on (node_id, timerange) for non-cancelled rows, so a run move onto an occupied window is refused by the database with run_overlap.",no,,,add-test (sql): an exclusion-constraint invariant this important (no overlapping runs on a cell) deserves a direct assertion that run_overlap actually fires.,
R-D5,An assignment has exactly one of run_id or product_id,uncovered,agent,§17 D5,"A CHECK enforces exactly one of run_id and product_id, and a trigger forces a run-attached assignment's node_id to equal its run's node, refusing a half-completed cross-cell move.",no,,,add-test (sql): the CHECK-plus-trigger pairing is two mechanisms working together — exactly where an untested regression hides.,
R-D6,nodes.path is derived by trigger and cascades on rename or move,uncovered,agent,§17 D6 §17.1,"Callers never set path. A trigger slugifies the name onto the parent path and an AFTER UPDATE OF name, parent_id trigger rewrites every descendant's path.",no,,,add-test (sql): path cascade on rename/move is core to the whole hierarchy and deserves its own dedicated migration test.,
R-D7,org_id is carried on every child table for uniform RLS,uncovered,agent,§17 D7,"shifts, shift_breaks, node_shift_templates, operator_skills and node_skill_requirements all carry org_id.",no,,,"Low priority: a schema-completeness statement that mainly enables the RLS requirements around it (R-D8, R-D107 family); a standalone test would be redundant — accept-risk or fold into a migration lint.",
R-D8,"Operators, products, skills readable org-wide; nodes and writes grant-scoped",covered,agent,§17 D8,"Under RLS any user in the org can read operators, products and skills, so a conflict message can name a cell outside their grant. Subtree grants restrict which nodes are visible and all writes.",yes,sql | supabase/tests/40_rls_test.sql,,Solid: 40_rls_test.sql is the right shape of proof for a read/write-scope claim like this.,
R-D9,"Audit log is admin-read-only, written by trigger",uncovered,agent,§17 D9 §17.1,"audit_log rows are written by a SECURITY DEFINER trigger on runs and assignments only, are readable only by admins, and a no-op update (only updated_at changed) writes no row.",no,,,add-test (sql): the no-op-update-writes-no-row clause is the subtle part and regresses silently — worth a dedicated case.,
R-D12,Shifts in a template never overlap; resolution is a DB function,uncovered,agent,§17 D12 §16.3,"Non-overlap of shifts within a template is an exclusion constraint, and nearest-ancestor resolution is provided by resolve_shift_template(node).",no,,,"add-test (sql): same shape as R-D4 — an exclusion constraint plus a resolver function, cheap to pin with a handful of cases.",
R-D13,The board renders in UTC through one seam,superseded,agent,§18 D13,BOARD_ZONE in src/features/board/lib/time.ts is the only place the zone is known and no component calls a local-time Date method. Every day is exactly 1440 minutes.,no,,D88a (§19.21) makes the board axis site-local in Phase 2; D13 still describes what v1 ships.,Superseded by R-D88.,
R-D14,The board window is always whole days,uncovered,agent,§18 D14,"The date control picks dates and board_window is called with midnight-to-midnight instants, so day boundaries fall at exact multiples of 1440 minutes from the window origin.",no,,,add-test (vitest): a pure function over board_window's midnight boundaries is cheap to unit test and easy to break with an off-by-one.,
R-D15,x is minutes since windowStart; previous day's shift tail drawn,uncovered,agent,§18 D15,Horizontal position is minutes since the window start over a computed windowMinutes. Shift geometry loops from day −1 so an overnight shift from the day before the window appears on the first morning.,no,,,"add-test (vitest): the geometry math is pure and is literally the codebase's own ""pure, testable module"" — it just has no test yet.",
R-D16,Three zoom levels with fixed pixel and snap values,uncovered,agent,§18 D16,"Compact 64 px/h, Standard 104, Fine 168 with snaps 60, 30 and 15 minutes; Standard is the default.",no,,,Low priority: a constant table (pixel/snap per zoom level). A snapshot test is cheap but silent-regression risk is low; accept-risk is defensible.,
R-D17,The board opens on today with a 3-day window,uncovered,maintainer,§18 D17 §18.4,The default window starts at the start of today's UTC day and spans 3 days. The original Monday-of-the-week anchor was a seed concern that leaked into the product and was reversed.,no,,,"add-test (vitest): the note that this default was already ""reversed"" once means it's regressed before — worth pinning so it can't drift back quietly.",
